"Udlæst fra bilstatistik.dk, af Henrik Sejersen, DBI IT A/S, den 24-01-2024 15:07:03",,,,,,,,,,,,,,,,,,,,,,,,,,
97,Maxus,e-Deliver 9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,3,0.01%,5,0.01%,9,0.01%
98,Maxus,Euniq,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,39,0.27%,73,0.29%,9,0.03%,0,0.00%,121,0.08%
99,Maxus,Euniq5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,39,0.13%,9,0.01%,48,0.03%
100,Maxus,Euniq6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,80,0.26%,247,0.39%,327,0.22%
101,Maxus,MIFA 9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.00%,2,0.00%
102,Maxus,Mifa9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,1,0.00%
103,Mazda,MX-30,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,253,1.78%,139,0.56%,75,0.24%,379,0.60%,846,0.57%
104,Melex,463,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,0,0.00%,1,0.00%
105,Melex,KCXF,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.06%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%
106,Mercedes-Benz,B-Klasse,0,0.00%,0,0.00%,39,0.90%,1,0.08%,1,0.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,41,0.03%
107,Mercedes-Benz,EQA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,707,2.84%,738,2.39%,"1,177",1.88%,"2,622",1.77%
108,Mercedes-Benz,EQB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,606,1.97%,856,1.36%,"1,462",0.99%
109,Mercedes-Benz,EQC,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19,0.34%,234,1.64%,344,1.38%,280,0.91%,173,0.28%,"1,050",0.71%
110,Mercedes-Benz,EQE,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,454,1.47%,753,1.20%,"1,207",0.81%
111,Mercedes-Benz,EQE SUV,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,269,0.43%,269,0.18%
112,Mercedes-Benz,EQS,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,0.07%,144,0.47%,70,0.11%,231,0.16%
113,Mercedes-Benz,EQS SUV,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.01%,72,0.11%,75,0.05%
114,Mercedes-Benz,EQV,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,56,0.39%,67,0.27%,105,0.34%,93,0.15%,321,0.22%
115,Mercedes-Benz,Vito,1,0.19%,1,0.06%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.01%,21,0.08%,57,0.18%,12,0.02%,93,0.06%
116,Mercedes-Benz,Vito Tourer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,0.02%,13,0.04%,26,0.04%,45,0.03%
117,MG,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,53,0.17%,742,1.18%,795,0.54%
118,MG,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,81,0.26%,61,0.10%,142,0.10%
119,MG,Marvel R,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16,0.06%,171,0.55%,208,0.33%,395,0.27%
120,MG,ZS,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,289,2.03%,193,0.77%,232,0.75%,144,0.23%,858,0.58%
121,Micro,Microlino,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.00%,2,0.00%
122,Mini,3-dørs,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,268,1.88%,244,0.98%,198,0.64%,140,0.22%,850,0.57%
123,Mini,Cabriolet,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,0.01%,8,0.01%
124,Mitsubishi,i-MiEV,1,0.19%,0,0.00%,1,0.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.00%
125,MyCar,,1,0.19%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%
126,Nio,EL6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,0.01%,6,0.00%
127,Nio,EL7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,0.01%,8,0.01%
128,Nio,ES8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.01%,0,0.00%,3,0.00%
129,Nio,ET5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,21,0.03%,21,0.01%
130,Nio,ET7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,0.04%,6,0.01%,18,0.01%
131,Nissan,Ariya,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,392,1.27%,966,1.54%,"1,358",0.92%
132,Nissan,Leaf,211,39.51%,577,36.82%,217,5.03%,85,6.47%,20,2.86%,637,41.23%,307,5.56%,566,3.98%,416,1.67%,238,0.77%,93,0.15%,"3,367",2.27%
133,Nissan,NV200,0,0.00%,3,0.19%,233,5.40%,27,2.05%,11,1.57%,17,1.10%,24,0.43%,12,0.08%,7,0.03%,1,0.00%,0,0.00%,335,0.23%
134,Opel,Combo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,23,0.07%,26,0.04%,50,0.03%
135,Opel,Corsa,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,48,0.34%,131,0.53%,132,0.43%,312,0.50%,623,0.42%
136,Opel,Mokka,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,173,0.69%,104,0.34%,254,0.40%,531,0.36%
137,Opel,Rocks-e,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,0,0.00%,1,0.00%
138,Opel,Zafira,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,0.04%,39,0.06%,50,0.03%
139,Paxster,L,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.01%,2,0.01%,0,0.00%,0,0.00%,3,0.00%
140,Peugeot,2008,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,222,1.56%,305,1.22%,240,0.78%,278,0.44%,"1,045",0.71%
141,Peugeot,208,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,292,2.05%,345,1.39%,582,1.89%,391,0.62%,"1,610",1.09%
142,Peugeot,Expert,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.00%,3,0.00%
143,Peugeot,Ion,9,1.69%,1,0.06%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,0.01%
144,Peugeot,Rifter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.01%,11,0.02%,14,0.01%
145,Peugeot,Traveller,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,0.06%,11,0.04%,8,0.01%,33,0.02%
146,Polaris,IPS,1,0.19%,4,0.26%,5,0.12%,2,0.15%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,0.01%
147,Polaris,Ranger,0,0.00%,0,0.00%,1,0.02%,28,2.13%,26,3.72%,28,1.81%,11,0.20%,14,0.10%,17,0.07%,19,0.06%,7,0.01%,151,0.10%
148,Polaris,Ranger Kinetic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.00%,3,0.00%
149,Polestar,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.01%,731,2.94%,"1,480",4.80%,"2,022",3.22%,"4,235",2.86%
150,Porsche,Taycan,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,324,2.28%,296,1.19%,264,0.86%,159,0.25%,"1,043",0.70%
151,Powerland,Tachyon,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.00%,2,0.00%
152,Regal Raptor,K3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.01%,0,0.00%,2,0.00%
153,Regal Raptor,K5H-S,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,0,0.00%,0,0.00%,1,0.00%
154,Regal Raptor,Rex Cargo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.01%,6,0.01%,10,0.01%
155,Renault,Fluence,38,7.12%,5,0.32%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,43,0.03%
156,Renault,Megane,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,389,1.26%,"1,334",2.13%,"1,723",1.16%
157,Renault,Twizy,14,2.62%,17,1.08%,23,0.53%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,55,0.04%
158,Renault,Zoe,92,17.23%,145,9.25%,329,7.63%,612,46.58%,387,55.36%,421,27.25%,568,10.29%,704,4.95%,970,3.89%,304,0.99%,28,0.04%,"4,560",3.08%
159,Reo,UTV,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.02%,9,0.06%,3,0.01%,0,0.00%,0,0.00%,13,0.01%
160,Reva,De Luxe,1,0.19%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%
161,Rex,Q7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.01%,3,0.00%,6,0.00%
162,Rolls-Royce,Spectre,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,1,0.00%
163,Seat,Mii,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,199,1.40%,416,1.67%,0,0.00%,0,0.00%,615,0.42%
164,Skoda,Citigo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,85,0.60%,15,0.06%,2,0.01%,0,0.00%,102,0.07%
165,Skoda,Enyaq iV,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,943,3.79%,"2,430",7.88%,"3,069",4.89%,"6,442",4.35%
166,Smart,Electric Drive,1,0.19%,7,0.45%,1,0.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,0.01%
167,Smart,Fortwo,1,0.19%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.05%,1,0.01%,3,0.01%,2,0.01%,3,0.00%,13,0.01%
168,SsangYong,Korando,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.01%,4,0.00%
169,Subaru,Solterra,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,0.02%,44,0.07%,50,0.03%
170,Tangjunouling,Sees,0,0.00%,0,0.00%,1,0.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%
171,Tazzari,Zero,0,0.00%,0,0.00%,1,0.02%,0,0.00%,1,0.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.00%
172,Tesla,Model 3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"2,439",44.18%,"4,277",30.06%,"1,899",7.62%,631,2.05%,"4,205",6.70%,"13,451",9.08%
173,Tesla,Model S,112,20.97%,462,29.48%,"2,725",63.21%,78,5.94%,46,6.58%,47,3.04%,187,3.39%,248,1.74%,1,0.00%,32,0.10%,113,0.18%,"4,051",2.73%
174,Tesla,Model X,0,0.00%,0,0.00%,0,0.00%,98,7.46%,52,7.44%,48,3.11%,108,1.96%,195,1.37%,1,0.00%,25,0.08%,58,0.09%,585,0.39%
175,Tesla,Model Y,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,524",6.12%,"2,315",7.51%,"17,953",28.62%,"21,792",14.71%
176,Toyota,bZ4X,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,136,0.44%,936,1.49%,"1,072",0.72%
177,Toyota,Proace City,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,0.02%,4,0.01%,10,0.01%
178,Toyota,Proace City Verso,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.02%,9,0.01%,14,0.01%
179,Toyota,Proace Verso,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,31,0.12%,42,0.14%,21,0.03%,94,0.06%
180,Volkswagen,Crafter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.02%,5,0.02%,2,0.01%,0,0.00%,10,0.01%
181,Volkswagen,Golf,0,0.00%,20,1.28%,92,2.13%,13,0.99%,36,5.15%,34,2.20%,17,0.31%,623,4.38%,3,0.01%,1,0.00%,1,0.00%,840,0.57%
182,Volkswagen,ID.3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,722",12.10%,"1,731",6.95%,626,2.03%,"1,148",1.83%,"5,227",3.53%
183,Volkswagen,ID.4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"2,669",10.72%,"2,322",7.53%,"2,542",4.05%,"7,533",5.08%
184,Volkswagen,ID.5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"2,023",6.56%,999,1.59%,"3,022",2.04%
185,Volkswagen,ID.7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,197,0.31%,197,0.13%
186,Volkswagen,ID.Buzz,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,0.03%,"1,205",1.92%,"1,214",0.82%
187,Volkswagen,up!,30,5.62%,219,13.98%,79,1.83%,59,4.49%,46,6.58%,19,1.23%,23,0.42%,369,2.59%,747,3.00%,239,0.78%,79,0.13%,"1,909",1.29%
188,Volvo,C40,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,297,0.96%,517,0.82%,815,0.55%
189,Volvo,EX30,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.01%,4,0.00%
190,Volvo,XC40,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,363,1.46%,"1,020",3.31%,"1,965",3.13%,"3,348",2.26%
191,Volvo,XC90,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.06%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%
192,Voyah,Free,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,0.01%,8,0.01%
193,XEV,Yoyo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,0.05%,0,0.00%,14,0.01%
194,Xingyun,UTV,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.02%,16,0.05%,8,0.01%,29,0.02%
195,Xinyang,ATV,0,0.00%,4,0.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.00%
196,Xpeng,G9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,582,0.93%,582,0.39%
197,Xpeng,P5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.01%,0,0.00%,2,0.00%,4,0.00%
198,Xpeng,P7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.01%,4,0.01%,70,0.11%,76,0.05%
